City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
132,Hofn,64.2539,-15.2082,42.44,70,50,6.76,scattered clouds,IS,2022-10-19 17:05:02
133,Cave Spring,37.2276,-80.0128,50.11,58,100,10.36,overcast clouds,US,2022-10-19 17:05:03
134,Senneterre,48.3835,-77.2328,39.85,81,60,8.1,broken clouds,CA,2022-10-19 17:05:05
135,Kodiak,57.79,-152.4072,35.11,80,0,5.75,clear sky,US,2022-10-19 17:05:05
136,Gland,46.4208,6.2701,64.78,87,91,2.82,overcast clouds,CH,2022-10-19 17:05:06
137,Santa Barbara,34.7333,-120.0343,84.83,42,0,0.0,clear sky,US,2022-10-19 17:05:07
138,Hobart,-42.8794,147.3294,47.05,87,31,5.75,scattered clouds,AU,2022-10-19 17:02:09
139,Zhuhai,22.2769,113.5678,74.98,64,40,10.36,scattered clouds,CN,2022-10-19 17:06:09
140,Hay River,60.8156,-115.7999,51.12,59,86,12.44,overcast clouds,CA,2022-10-19 17:06:10
141,Dobryanka,58.4619,56.4165,37.56,86,93,5.75,overcast clouds,RU,2022-10-19 17:06:11
142,Harrison,30.4091,-89.0436,60.87,32,0,10.36,clear sky,US,2022-10-19 17:06:13
143,Half Moon Bay,37.4636,-122.4286,78.96,60,0,8.05,clear sky,US,2022-10-19 17:06:14
144,Udachnyy,66.4167,112.4,16.11,92,85,7.65,overcast clouds,RU,2022-10-19 17:06:14
145,Moree,-29.4667,149.85,63.59,93,100,17.54,light rain,AU,2022-10-19 17:06:15
146,Vardo,70.3705,31.1107,37.38,70,75,36.82,broken clouds,NO,2022-10-19 17:03:12
147,La Paz,-16.5,-68.15,64.38,27,40,8.05,scattered clouds,BO,2022-10-19 17:06:17
148,Talnakh,69.4865,88.3972,33.73,96,100,13.09,light snow,RU,2022-10-19 17:06:18
149,Lodja,-3.4833,23.4333,74.55,82,100,1.1,light rain,CD,2022-10-19 17:06:19
150,Minab,27.1467,57.0801,88.12,28,79,3.58,broken clouds,IR,2022-10-19 17:06:20
151,Mahebourg,-20.4081,57.7,70.25,73,69,13.62,broken clouds,MU,2022-10-19 17:02:33
152,Praia,14.9215,-23.5087,86.54,62,20,5.75,few clouds,CV,2022-10-19 17:06:21
153,Eenhana,-17.4667,16.3333,83.77,28,55,5.61,broken clouds,NA,2022-10-19 17:06:22
154,Tuktoyaktuk,69.4541,-133.0374,26.91,86,100,5.39,overcast clouds,CA,2022-10-19 17:06:24
155,San Quintin,30.4833,-115.95,77.74,49,5,1.81,clear sky,MX,2022-10-19 17:06:26
156,Ereymentau,51.6199,73.1033,41.23,67,100,20.22,moderate rain,KZ,2022-10-19 17:06:27
157,Aksu,41.1231,80.2644,58.41,20,99,5.73,overcast clouds,CN,2022-10-19 17:06:11
158,Hithadhoo,-0.6,73.0833,80.1,78,100,7.49,overcast clouds,MV,2022-10-19 17:06:29
159,Medvezhyegorsk,62.9167,34.4667,38.01,82,87,7.63,overcast clouds,RU,2022-10-19 17:06:31
160,Lavumisa,-27.31,31.892,73.09,73,73,7.14,light rain,SZ,2022-10-19 17:06:32
161,Nikolayevsk-Na-Amure,53.1406,140.73,27.97,80,9,4.0,clear sky,RU,2022-10-19 17:06:34
162,Buala,-8.145,159.5921,79.56,79,73,2.13,broken clouds,SB,2022-10-19 17:06:36
163,Ulladulla,-35.35,150.4667,61.7,90,100,4.05,overcast clouds,AU,2022-10-19 17:06:36
164,Impfondo,1.6381,18.0667,73.29,95,95,4.7,moderate rain,CG,2022-10-19 17:06:37
165,Bredasdorp,-34.5322,20.0403,66.94,67,6,10.42,clear sky,ZA,2022-10-19 17:06:38
166,Sweetwater,25.7634,-80.3731,69.82,76,100,13.8,overcast clouds,US,2022-10-19 17:06:39
167,Nichinan,31.6,131.3667,60.04,72,0,13.49,clear sky,JP,2022-10-19 17:06:39
168,Bambous Virieux,-20.3428,57.7575,70.21,74,67,14.5,broken clouds,MU,2022-10-19 17:06:40
169,Aklavik,68.2191,-135.0107,25.95,96,100,6.17,overcast clouds,CA,2022-10-19 17:06:40
170,Pisco,-13.7,-76.2167,64.45,72,20,10.36,few clouds,PE,2022-10-19 17:06:41
171,Kuldur,49.2167,131.6333,30.56,73,81,1.95,broken clouds,RU,2022-10-19 17:06:41
172,Rio Gallegos,-51.6226,-69.2181,52.65,48,100,10.36,overcast clouds,AR,2022-10-19 17:06:42
173,Rock Hill,34.9249,-81.0251,56.34,44,0,6.91,clear sky,US,2022-10-19 17:06:42
174,Turayf,31.6725,38.6637,77.2,31,86,11.07,overcast clouds,SA,2022-10-19 17:06:43
175,Sungairaya,0.7,108.9,78.39,86,100,1.9,overcast clouds,ID,2022-10-19 17:06:44
176,Novyy Urengoy,66.0833,76.6333,37.83,85,100,16.42,overcast clouds,RU,2022-10-19 17:06:46
177,Itoman,26.1247,127.6694,75.22,69,100,18.41,overcast clouds,JP,2022-10-19 17:06:47
178,Kaduqli,11.0167,29.7167,80.47,58,22,5.99,light rain,SD,2022-10-19 17:06:48
179,Esperance,-33.8667,121.9,64.27,53,1,18.92,clear sky,AU,2022-10-19 17:06:51
180,Karksi-Nuia,58.1033,25.5628,36.79,85,9,5.66,clear sky,EE,2022-10-19 17:06:52
181,Erzin,36.9559,36.2,68.7,74,1,3.06,clear sky,TR,2022-10-19 17:06:53
182,Kirakira,-10.4544,161.9205,78.89,86,96,6.06,overcast clouds,SB,2022-10-19 17:07:55
183,Egvekinot,66.3167,-179.1667,28.02,97,100,22.35,snow,RU,2022-10-19 17:07:56
184,Stepnoye,51.4,46.8667,56.53,38,100,15.57,overcast clouds,RU,2022-10-19 17:07:57
185,Pangnirtung,66.1451,-65.7125,23.0,58,20,12.66,few clouds,CA,2022-10-19 17:07:58
186,Namibe,-15.1961,12.1522,69.19,70,28,16.24,scattered clouds,AO,2022-10-19 17:04:42
187,Lander,42.833,-108.7307,61.99,29,0,0.0,clear sky,US,2022-10-19 17:08:00
188,Algeciras,36.1333,-5.4505,71.28,83,75,3.44,haze,ES,2022-10-19 17:08:02
189,Torbay,47.6666,-52.7314,62.28,88,75,10.36,broken clouds,CA,2022-10-19 17:08:03
190,Iquique,-20.2208,-70.1431,64.44,65,2,9.13,clear sky,CL,2022-10-19 17:08:04
191,Labuan,5.2767,115.2417,81.52,78,100,4.9,overcast clouds,MY,2022-10-19 17:08:06
192,Nanortalik,60.1432,-45.2371,38.05,96,100,21.72,overcast clouds,GL,2022-10-19 17:08:07
193,Sinop,41.7711,34.8709,56.05,95,87,2.28,overcast clouds,TR,2022-10-19 17:08:08
194,Touros,-5.1989,-35.4608,83.77,62,13,19.26,few clouds,BR,2022-10-19 17:04:40
195,Saskylakh,71.9167,114.0833,6.51,91,66,10.74,broken clouds,RU,2022-10-19 17:08:09
196,Vao,-22.6667,167.4833,70.52,70,84,14.88,broken clouds,NC,2022-10-19 17:04:46
197,Batagay,67.6333,134.6333,-7.4,98,21,4.21,few clouds,RU,2022-10-19 17:08:11
198,Nexo,55.0607,15.1306,39.29,57,5,6.98,clear sky,DK,2022-10-19 17:08:13
199,Krasnopavlivka,49.1372,36.3272,50.36,92,100,7.23,overcast clouds,UA,2022-10-19 17:08:13
200,Geraldton,-28.7667,114.6,61.21,88,40,6.91,scattered clouds,AU,2022-10-19 17:08:14
201,Sal Rei,16.1833,-22.9167,84.4,70,40,17.27,scattered clouds,CV,2022-10-19 17:08:15
202,Zhangjiakou,40.81,114.8794,48.94,29,41,3.78,scattered clouds,CN,2022-10-19 17:08:17
203,Olafsvik,64.8945,-23.7142,44.42,83,100,17.18,overcast clouds,IS,2022-10-19 17:08:17
204,Mayo,38.8876,-76.5119,56.95,48,75,8.05,broken clouds,US,2022-10-19 17:08:19
205,Narsaq,60.9167,-46.05,37.62,98,100,11.9,overcast clouds,GL,2022-10-19 17:08:20
206,Lethem,3.3803,-59.7968,89.58,57,90,10.69,moderate rain,GY,2022-10-19 17:08:21
207,Lantangan,11.5882,123.3256,83.25,72,100,4.27,light rain,PH,2022-10-19 17:08:22
208,Karratha,-20.7377,116.8463,75.99,70,0,7.81,clear sky,AU,2022-10-19 17:08:23
209,Shenjiamen,29.9576,122.298,63.07,62,5,12.93,clear sky,CN,2022-10-19 17:08:23
210,Umea,63.8284,20.2597,42.91,75,0,9.22,clear sky,SE,2022-10-19 17:08:24
211,Stornoway,58.2093,-6.3865,49.96,83,20,13.8,few clouds,GB,2022-10-19 17:08:25
212,Chipinge,-20.1883,32.6236,68.38,46,100,7.56,overcast clouds,ZW,2022-10-19 17:08:26
213,Guangyuan,32.442,105.823,60.8,75,55,1.95,broken clouds,CN,2022-10-19 17:08:27
214,Kifri,34.6959,44.9661,86.94,15,1,7.23,clear sky,IQ,2022-10-19 17:08:28
215,Northam,51.0333,-4.2167,64.62,84,100,26.57,overcast clouds,GB,2022-10-19 17:08:28
216,Sioux Lookout,50.1001,-91.917,38.5,41,87,5.57,overcast clouds,CA,2022-10-19 17:08:29
217,Voi,-3.3945,38.563,73.26,65,80,12.33,broken clouds,KE,2022-10-19 17:08:30
218,Wagar,16.1525,36.2032,94.24,27,47,8.97,scattered clouds,SD,2022-10-19 17:08:32
219,Vanimo,-2.6741,141.3028,76.82,91,97,3.8,overcast clouds,PG,2022-10-19 17:08:33
220,Jiwani,25.05,61.7417,81.46,69,38,7.14,scattered clouds,PK,2022-10-19 17:08:34
221,Flin Flon,54.7682,-101.865,47.53,69,100,6.64,overcast clouds,CA,2022-10-19 17:08:35
222,Cabo San Lucas,22.8909,-109.9124,86.61,69,20,2.3,few clouds,MX,2022-10-19 17:06:39
223,Nuuk,64.1835,-51.7216,30.81,93,20,6.91,few clouds,GL,2022-10-19 17:08:37
224,Tupik,54.4253,119.9327,22.91,88,46,3.36,scattered clouds,RU,2022-10-19 17:08:38
225,Glendive,47.1053,-104.7125,64.02,42,0,11.5,clear sky,US,2022-10-19 17:08:39
226,Bandarbeyla,9.4942,50.8122,78.28,86,10,14.79,clear sky,SO,2022-10-19 17:08:40
227,Lima,-12.0432,-77.0282,71.91,63,100,9.22,overcast clouds,PE,2022-10-19 17:03:51
228,Mehamn,71.0357,27.8492,39.11,75,75,25.32,light snow,NO,2022-10-19 17:08:41
229,Bandipur,27.9333,84.4167,56.07,79,0,3.15,clear sky,NP,2022-10-19 17:08:41
230,Talaya,61.3833,152.75,5.31,94,95,8.43,overcast clouds,RU,2022-10-19 17:08:44
231,Foam Lake,51.65,-103.5343,54.86,46,60,9.71,broken clouds,CA,2022-10-19 17:09:45
232,San Pedro,14.35,121.0167,78.03,91,100,2.3,heavy intensity rain,PH,2022-10-19 17:09:46
