 ,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
655,Camana,PE,66.22,scattered clouds,-16.6228,-72.7111,Hostal Morales
657,Necochea,AR,66.15,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
661,Karatu,TZ,73.58,scattered clouds,-3.3333,35.6667,Highview Hotel
663,Calama,CL,68.49,clear sky,-22.4667,-68.9333,Park Hotel Calama
664,Tayu,ID,77.76,light rain,-6.5397,111.0518,Toko pakaian bu is Tayu
666,Tautira,PF,75.78,light rain,-17.7333,-149.15,Pension Oaoa
667,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
672,Nabire,ID,76.17,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
677,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
680,Marzuq,YE,78.55,clear sky,14.4,46.4667,حيد القفلة
684,Pangai,TO,77.58,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
686,Maumere,ID,81.82,overcast clouds,-8.6199,122.2111,Sylvia Hotel
697,Kindu,CD,81.18,overcast clouds,-2.95,25.95,Résidence Okanda
698,Sete,FR,71.46,clear sky,43.4018,3.6966,Hotel de Paris Sète
699,Denpasar,ID,76.71,heavy intensity rain,-8.65,115.2167,OYO 3156 Hotel Warta Dua
703,Keti Bandar,PK,82.54,overcast clouds,24.1447,67.4497,Haji laloo memon house
706,Itoman,JP,69.82,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
